Part_Name,Count,Percentage
"COVER,FRONT END LOWER",778,0.08
Garnish Fender Left,776,0.08
"GRILLE, RADIATOR LOWER",763,0.08
COOLANT,761,0.08
"EMBLEM, S (CHROME)",754,0.08
Wheel Rim Steel Front Left,751,0.08
EMBLEM(DDIS),748,0.08
Wheel Rim Alloy Front Right,733,0.08
Engine Cover Left,724,0.08
Horn Assembly High Pitch,722,0.08
Air Filter|Cleaner Cover Assembly,719,0.08
Drive Shaft- Constant Velocity Axle Left,715,0.08
Cowl Panel Top Garnish,708,0.07
TANK ASSY,704,0.07
"COVER, ENGINE UNDER SIDE, L",699,0.07
CROSSMEMBER FRONT LOWER,687,0.07
"MEMBER COMP,HOOD LOCK",682,0.07
Emblem|Logo Rear Right Bottom 1,681,0.07
EMBLEM (MARUTI SUZUKI),681,0.07
Garnish Fog Light Left,681,0.07
Garnish Fender Right,680,0.07
Emblem|Logo ABS,675,0.07
"CROSSMEMBER COMP,FRONT LOWER",667,0.07
Seat Belt Front Driver,654,0.07
Seat Belt Front Passenger,650,0.07
Engine Cover Right,649,0.07
Horn Assembly Low Pitch,649,0.07
Radiator Cooling Fan Shroud,643,0.07
Holder,635,0.07
CLIP 1,633,0.07
"COVER,FRONT END UPPER,L",632,0.07
Engine Under Guard Cover,622,0.07
Glass Front Door Window Right,622,0.07
"HINGE COMP,FRONT HOOD,R",611,0.06
AIR DRYING SEALER,608,0.06
Garnish Fog Light Right,604,0.06
Latch Dicky|Trunk,594,0.06
Motor Radiator Cooling Fan,591,0.06
"HINGE COMP,FRONT HOOD,L",591,0.06
Stabilizer Bar|Sway Bar,584,0.06
Clip,583,0.06
"LATCH COMP,HOOD",580,0.06
"HOLDER, FR BUMPER SIDE LH",575,0.06
Emblem|Logo Fender Left,549,0.06
"GRILLE, RADIATOR UPPER",548,0.06
"HOLDER, FR BUMPER SIDE RH",546,0.06
"FAN ASSY, ENG CLG",542,0.06
Retainer Assembly Front Bumper Cover Mounting 1,541,0.06
"HOLDER, FR BUMPER SIDE, L",540,0.06
MEMBER HOOD LOCK,537,0.06
Hinge Top Door Front Right,536,0.06
Hose,535,0.06
clip,534,0.06
Wheel Rim Alloy Front Left,521,0.06
"GRILLE,RADIATOR UPPER",514,0.05
Running Board|Gusset Panel Left,510,0.05
"MEMBER COMP,FR BUMPER",506,0.05
Bolt,503,0.05
"MEMBER COMP,FRONT BUMPER",498,0.05
Hinge Bottom Door Front Right,497,0.05
Emblem|Logo Fender Right,493,0.05
Glass Front Door Window Left,481,0.05
Retainer Rear Bumper Side Bracket Mounting 1,470,0.05
GLASS WINDSHIELD,456,0.05
Knuckle Right,455,0.05
Engine Cover Assembly,454,0.05
"GUARD ASSY,FR FENDER SPLASH,L",447,0.05
CLIP 2,436,0.05
MOLDING WINDSHIELD,435,0.05
Engine Mount 1,433,0.05
TAPE,431,0.05
Emblem|Logo Rear Right Top 1,430,0.05
CLIPS,430,0.05
Pan Engine Oil,427,0.05
Outer Handle Door Front Right,426,0.05
Hose Radiator Lower,426,0.05
Rear View Fender Mirror Right,423,0.04
Emblem|Logo Rear Left Top 1,422,0.04
Reservoir Tank Coolant,422,0.04
"COVER,ENGINE UNDER",420,0.04
"GARNISH,FR BUMPER SIDE,L",420,0.04
Fender Indicator Light Right,418,0.04
Weatherstrip Assembly Door Front Right,418,0.04
Battery Tray,411,0.04
BUMPER FRONT,410,0.04
MEMBER COMP HOOD LOCK,410,0.04
SEALANT,404,0.04
Dashboard Console Assembly Complete,402,0.04
"GRILLE, RADIATOR LOWER (BLACK)",402,0.04
"PIPE, LIQUID",402,0.04
Knuckle Left,397,0.04
TYRE,394,0.04
"GARNISH,COWL TOP SIDE,L",393,0.04
Running Board|Gusset Panel Right,390,0.04
"GUARD ASSY,FR FENDER SPLASH,R",389,0.04
"GARNISH,COWL TOP SIDE,R",388,0.04
EMBLEM MARK S,381,0.04
Tail Light Right Dicky,380,0.04
"JOINT COMP,FR STABILIZER BAR",376,0.04
Wiring Harness Main,375,0.04
PAINT MATERIAL,374,0.04
"BEZEL, FRONT FOG LAMP LH",373,0.04
"BEZEL, FRONT FOG LAMP RH",373,0.04
Garnish Bumper Rear,372,0.04
Fender Indicator Light Left,371,0.04
Bracket 3,371,0.04
Hinge Dicky|Trunk Left,366,0.04
"HOSE,DISCHARGE",366,0.04
"HOSE,RDTR OUTLET",365,0.04
CAP FRONT BUMPER,364,0.04
"GARNISH,FR BUMPER SIDE,R",364,0.04
Battery,363,0.04
Nut,362,0.04
Steering Wheel Assembly,361,0.04
"CONTROLLER ASSY,A/B",360,0.04
"ABSORBER COMP,FR BUMPER LOWER",360,0.04
"ABSORBER COMP, FR BUMPER LOWER",354,0.04
GARNISH,350,0.04
Rear View Fender Mirror Left,349,0.04
COVER COMP ENGINE UNDER,344,0.04
"GARNISH,FR BUMPER LOWER",344,0.04
"FRONT FOG LAMP,YN4",344,0.04
Hinge Dicky|Trunk Right,342,0.04
"EMBLEM,VXI(CHROME)",339,0.04
Hinge Top Door Front Left,339,0.04
Tail Light Left Dicky,338,0.04
"HOLDER, FR BPR SIDE, R",337,0.04
"MEMBER, HOOD LOCK",337,0.04
TANK,337,0.04
Torsion Dead Axle Rear,335,0.04
"TANK ASSY, WASHER",333,0.04
BELT ASSY FR RH,332,0.04
A Pillar Front Right,331,0.04
COMPRESSOR OIL,327,0.03
"MIRROR ASSY,OUT REAR VIEW,R",327,0.03
BELT ASSY FR LH,326,0.03
"JOINT,STABILIZER BAR",325,0.03
FRONT BUMPER,325,0.03
"GRILLE COMP,RADIATOR",321,0.03
"LAMP ASSY,FOG",321,0.03
"ARM ASSY,FRONT SUSPENSION,R",320,0.03
Hinge Bottom Door Front Left,320,0.03
HOLDERFR BUMPER SIDER,320,0.03
BULB,318,0.03
"TANK, WATER RESERVE",317,0.03
Glass Rear Door Window Right,317,0.03
"TAPE,FRONT DOOR OUTER RR,L",316,0.03
Airbag Passenger Seat,315,0.03
Bracket Front Bumper Left 1,312,0.03
"HOLDER, FR BUMPER SIDE, R",311,0.03
Brace,311,0.03
"CAP, FRONT BUMPER",311,0.03
"TAPE,FRONT DOOR OUTER RR,R",311,0.03
"MEMBER COMP,RADIATOR SUPPORT",311,0.03
Emblem|Logo Rear Left Top 2,309,0.03
"SENSOR ASSY,FORWARD",307,0.03
"GLASS,WINDSHIELD",306,0.03
A Pillar Front Left,305,0.03
Garnish Quarter Panel Right,303,0.03
"GARNISH, RADIATOR UPPER GRILLE",303,0.03
Head Light Support Right,302,0.03
"NET,FRONT BUMPER",302,0.03
"CABLE ASSY,CONTACT COIL",301,0.03
"BRACE,LAMP SUPPORT,R",301,0.03
LINING,300,0.03
"LINING COMP, FRONT FENDER, R",296,0.03
HOLDER FR BUMPER SIDE LH,291,0.03
bolt,291,0.03
Quarter Panel Wheel Well Lining|Guard|Cover Right,291,0.03
HOLDER FR BUMPER SIDE RH,291,0.03
"LINING COMP, FRONT FENDER, L",291,0.03
SCREW FR.FENDER LINING,290,0.03
Head Light Support Left,289,0.03
Air Duct,289,0.03
"MODULE ASSY,AIRBAG",289,0.03
Tyre Rear Right,287,0.03
AC Compressor Assembly,287,0.03
Body Vinyl Sticker Right,286,0.03
Bracket Front Bumper Right 1,285,0.03
Weatherstrip Assembly Door Front Left,285,0.03
Latch Front Right Door,284,0.03
EMBLEM(DZIRE),283,0.03
Wheel Rim Steel Rear Right,283,0.03
"BRACKET,PARK SNSR",282,0.03
"BUMPER,FRONT",282,0.03
"MOUNT,RADIATOR SUPPORT LOWER",279,0.03
Brace Bonnet|Hood,277,0.03
"COVER COMP,FR BUMPER LOWER",276,0.03
Engine Oil,276,0.03
"TAPE,REAR DOOR OUTER FR,R",273,0.03
"MOUNT,RADIATOR SUPPORT UPPER",271,0.03
"LINING, FRONT FENDER RH",269,0.03
Tie Member,268,0.03
"LAMP ASSY,SIDE TURN SIGNAL",267,0.03
Screw,265,0.03
"HOLDER, RR BUMPER SIDE RH",265,0.03
"STRUT ASSY,FRONT SPNSN,R",264,0.03
Hose Radiator Upper,263,0.03
Garnish Quarter Panel Left,263,0.03
Steering Rack Assembly|Steering Gear,261,0.03
Emblem|Logo Rear Right Bottom 2,261,0.03
CONTROLLER ASSY A/B,259,0.03
Trim Roof Headliner,259,0.03
Tail Light Housing Right,259,0.03
BEZEL,257,0.03
"LINING, FRONT FENDER LH",257,0.03
"TANK ASSY,WATER RESERVE",257,0.03
"BRACE,LAMP SUPPORT,L",257,0.03
AC CAN GAS (450GM) SRF,256,0.03
EMBLEM S,254,0.03
Impact Sensor,252,0.03
Reflector Visibility Rear Right,252,0.03
"MEMBER,HOOD LOCK",252,0.03
Cowl Panel Cover Left,251,0.03
"HOSE,SUCTION",250,0.03
LATCH COMP HOOD,250,0.03
Cowl Panel Cover Right,250,0.03
HOLDER FR BUMPER SIDE R,249,0.03
"COVER, FRONT END UPPER, L",248,0.03
AIR DRYING SEALER ( PU 92),248,0.03
Reflector Visibility Rear Left,247,0.03
CONSUMABLE,247,0.03
Airbag Driver Seat,247,0.03
Emblem|Logo Rear Right Middle,245,0.03
Shock Absorber Assembly Right,245,0.03
Dashboard Console Instrument Cluster Cover,244,0.03
Exhaust Pipe,244,0.03
"COVER, FRONT END LOWER",243,0.03
SEALENT,242,0.03
Emblem,242,0.03
HOLDER FR BUMPER SIDE L,242,0.03
Carrier Radiator Support Center Member 2,241,0.03
Stabilizer Link Right,241,0.03
Tie Rod End Right,240,0.03
Hinge Top Door Rear Right,239,0.03
COOLANT (GOLDEN YELLOW),239,0.03
"NET, FRONT BUMPER",239,0.03
"SHAFT ASSY,FRONT DRIVE,R",239,0.03
Glass Rear Door Window Left,239,0.03
nut,239,0.03
Weatherstrip Assembly Door Rear Right,239,0.03
Regulator Winder Power Window Door Front Right,238,0.03
"MEMBER COMP,FRONT SIDE,R",238,0.03
Longitudnal member Engine Support Right,237,0.03
Indicator Lamp Bumper Right,237,0.03
CLIP1,235,0.02
Motor Assembly Front Windshield Washer,234,0.02
TANK WASHER,233,0.02
CAP,232,0.02
"MOLDING,WINDSHIELD",229,0.02
"LAMP ASSY, SIDE TURN",228,0.02
Outer Handle Door Front Left,228,0.02
"SENSOR ASSY,PARK",227,0.02
Outer Handle Door Rear Right,226,0.02
Wheel Cover Full,226,0.02
"HOSE, DISCHARGE",225,0.02
"GUARD ASSY,RR FENDER SPLASH,R",224,0.02
PIPE LIQUID,224,0.02
Longitudnal member Engine Support Left,224,0.02
"MOUNTING COMP,ENG RH",223,0.02
CLIP.,223,0.02
"HOLDER, RR BUMPER SIDE LH",222,0.02
HOLDERS,222,0.02
"GRILLE COMP, RADIATOR UPPER",222,0.02
Airbag Dashboard Passenger Side,221,0.02
"MIRROR ASSY,OUT REAR VIEW,L",221,0.02
"EMBLEM, SWIFT (CHROME)",220,0.02
Body Vinyl Sticker Left,220,0.02
"MODULE ASSY,PASSENGER AIR BAG",220,0.02
"COVER,ENGINE UNDER SIDE,L",219,0.02
GRILL RADIATOR LOWER,219,0.02
PANEL FRONT HOOD,219,0.02
Tail Light Housing Left,218,0.02
"CLEANER ASSY, AIR",217,0.02
EMBLEM(ERTIGA),217,0.02
"BRACE, LAMP SUPPORT RH",216,0.02
"ARM ASSY,FRONT SUSPENSION,L",215,0.02
Latch Rear Right Door,215,0.02
RADIATOR,215,0.02
BRACKET,214,0.02
"HINGE COMP, FRONT HOOD, R",213,0.02
"LAMP ASSY, FR FOG",213,0.02
"GUARD ASSY,RR FENDER SPLASH,L",212,0.02
Emblem|Logo Rear Left Middle,212,0.02
"MEMBER, LAMP SUPPORT LH",212,0.02
"GARNISH,COWL TOP",211,0.02
"BRACE, LAMP SUPPORT LH",209,0.02
"FRAME,FRONT SUSPENSION",208,0.02
"EMBLEM, VVT (CHROME)",208,0.02
Indicator Lamp Bumper Left,208,0.02
AC CAN GAS (340 -FLORON),207,0.02
"TAPE,REAR DOOR OUTER FR,L",207,0.02
EMBLEM MARUTI SUZUKI,206,0.02
Emblem|Logo Rear Left Bottom 1,206,0.02
"SENSOR, OXYGEN",205,0.02
"OUTLET,VENTILATOR",205,0.02
Manifold Exhaust,203,0.02
Stabilizer Link Left,203,0.02
EMBLEMS,202,0.02
screw,202,0.02
LAMP UNIT RR COMB RH,201,0.02
AC Pipe,201,0.02
"HINGE COMP, FRONT HOOD, L",201,0.02
Hinge Bottom Door Rear Right,200,0.02
"EMBLEM, MARUTI SUZUK",200,0.02
"COVER, FRONT END LOWER LH",200,0.02
"MEMBER, FR BUMPER",200,0.02
COVER FRONT END LOWER,199,0.02
PANEL ASSY FRONT,199,0.02
Quarter Panel Wheel Well Lining|Guard|Cover Left,198,0.02
EMBLEM(BALENO)(CHROME),198,0.02
Airbag Sensor,198,0.02
Cladding Running Board|Gusset Panel Left,198,0.02
"SENSOR,OXYGEN",198,0.02
Cowl Cover Top,197,0.02
Sub Strut McPherson Front Right,196,0.02
Bumper Reinforcement Front Assembly,196,0.02
FRONT FOG LAMP,195,0.02
"DECAL,SIDE STRIPE RR DR,R",194,0.02
MOUNTING RDTR SUPPORT LOWER,194,0.02
"GARNISH, FR BUMPER LOWER, L",193,0.02
Bumper Front Lip Left,192,0.02
TRAY BATTERY,191,0.02
"CLEANER ASSY,AIR",189,0.02
Wheel Rim Alloy Rear Right,189,0.02
Sealant Body 2,188,0.02
LINING CLIP,188,0.02
"HOLDER, FR BUMPER FRONT, R",187,0.02
Bracket 4,187,0.02
"PANEL,FRONT FENDER,R",187,0.02
"TRIM,TAIL END",187,0.02
"MEMBER,APRON SIDE OUTER LH",187,0.02
Engine Mount 2,186,0.02
"MEMBER, LAMP SUPPORT RH",186,0.02
"KNUCKLE,STEERING,R",186,0.02
"FRAME COMP,FRONT SUSPENSION",186,0.02
"EMBLEM,REAR",186,0.02
CONSUMABLES,185,0.02
Bumper Front Center,184,0.02
"COVER, FRONT END LOWER RH",184,0.02
CLIP2,184,0.02
Member Hood Lock,183,0.02
"HOLDER, RR BUMPER SIDE, R",182,0.02
"CABLE COMP,HOOD LATCH RELEASE",181,0.02
Garnish Door Rear Right,181,0.02
"HOLDER, FR BUMPER FRONT, L",181,0.02
"SENSOR ASSY, FORWARD RIGHT",181,0.02
CABLE ASSY CONTACT COIL,181,0.02
Quarter Panel Inner Right,180,0.02
"DECAL,SIDE STRIPE RR QTR,R",180,0.02
FAN ASSY,180,0.02
Tyre Rear Left,179,0.02
"GRILLE, RADIATOR",179,0.02
AC Condenser Fan Assembly,179,0.02
WHEEL RIM,178,0.02
"MEMBER,LAMP SUPPORT,R",178,0.02
"FAN ASSY,COOLING",178,0.02
"HORN ASSY, HIGH PITCHED",178,0.02
Wiper Arm Front Windshield Driver Side,177,0.02
Holder RH,177,0.02
Muffler Assembly Main,177,0.02
Shock Absorber Assembly Left,177,0.02
"MODULE ASSY, AIRBAG",177,0.02
"STRUT ASSY,FRONT SPNSN,L",176,0.02
"GARNISH COMP,COWL TOP SIDE,R",175,0.02
GARNISH COWL TOP,175,0.02
LATCH HOOD,175,0.02
Air Filter|Cleaner Element,175,0.02
Door Handle Front Right,174,0.02
"HOLDER, FRONT HOOD STAY",174,0.02
FAN ASSY COOLING,173,0.02
LAMP ASSY FOG,173,0.02
Cladding Running Board|Gusset Panel Right,173,0.02
Engine Oil Filter Assembly,173,0.02
"DECAL,SIDE STRIPE RR DR,L",172,0.02
"HOLDER,FR BUMPER FRONT,R",172,0.02
EMBLEM(VDI),172,0.02
REAR BUMPER,171,0.02
SENSOR ASSY FORWARD,171,0.02
"HINGE, FRONT HOOD RH",171,0.02
"DECAL,SIDE STRIPE FR DR,R",171,0.02
Wiring Harness Engine,170,0.02
EMBLEM DDIS,170,0.02
CLIP DOOR TRIM,169,0.02
CONDENSER,169,0.02
"BUMPER,FRONT LOWER,L",169,0.02
MOTOR ASSY,168,0.02
HINGES,168,0.02
FRAME FRONT SUSPENSION,168,0.02
SEALANT SET,168,0.02
DG SEALANT SET,167,0.02
"ARM ASSY, FRONT SUSPENSION, R",167,0.02
LINING COMPFRONT FENDER,166,0.02
BEZEL FRONT FOG LAMP RH,166,0.02
Quarter Panel Glass Fixed Right,165,0.02
"GARNISH,RADIATOR GRILLE UPR,L",165,0.02
"MODULE ASSY, PASSENGER AIR BAG",165,0.02
Tie Rod End Left,165,0.02
Cover Cylinder Head,165,0.02
HANDLE COMP FRONT DOOR,164,0.02
"SET, CONTACT COIL & SAS",164,0.02
"LAMP, UNIT RR COMB RH",163,0.02
Stabilizer Link,163,0.02
LATCH,163,0.02
"FAN ASSY,ENG CLG",163,0.02
DG SEALANT,162,0.02
Wiper Blade Front Windshield Driver Side,162,0.02
HOLDER RH,162,0.02
"DECAL,SIDE STRIPE FR DR,L",161,0.02
Holder LH,161,0.02
"GARNISH COMP,COWL TOP SIDE,L",161,0.02
COVER ENGINE UNDER SIDE L,161,0.02
"CONTROLLER ASSY, A/B",161,0.02
HOLDER LH,161,0.02
Garnish Door Rear Left,161,0.02
"BAR,FRONT STABILIZER",160,0.02
"CROSSMEMBER COMP,FRONT",160,0.02
"WEATHERSTRIP,FRONT DOOR OUT,R",160,0.02
"HOLDER,FR BUMPER FRONT,L",160,0.02
Weatherstrip Assembly Dicky|Trunk,159,0.02
holder,159,0.02
Latch Front Left Door,159,0.02
ALLOY WHEEL,158,0.02
LIQUID GASKET,158,0.02
"MEMBER,APRON SIDE OUTER RH",158,0.02
"SHAFT ASSY,FRONT DRIVE,L",158,0.02
"GARNISH, FR BUMPER LOWER, R",158,0.02
Wheel Rim Steel Rear Left,158,0.02
"BEZEL,FRONT FOG LAMP,RH",158,0.02
Cowl Panel Assembly,157,0.02
LAMP UNIT RR COMB LH,157,0.02
"TAPE, FRONT DOOR OUTER RR RH",157,0.02
MEMBER FR BUMPER,157,0.02
MEMBER COMP FRONT BUMPER,157,0.02
HINGE,156,0.02
"EXTENSION ASSY, FR BPR SIDE, LH",156,0.02
NET FRONT BUMPER,156,0.02
MEMBER FRONT BUMPER,156,0.02
HORN ASSY,155,0.02
"FAN ASSY, ENGINE COOLING",155,0.02
"REFLECTOR ASSY,REAR,R",155,0.02
"WEATHERSTRIP,REAR DOOR OPNG,R",155,0.02
Hinge Top Door Rear Left,155,0.02
"BRACE COMP,HOOD LOCK",155,0.02
"TAPE, REAR DOOR OUTER FR RH",154,0.02
SENSOR OXYGEN,154,0.02
Retainer Assembly Rear Bumper Cover Mounting 1,154,0.02
MEMBER COMP FR BUMPER,154,0.02
"SENSOR,OXYGEN RR",154,0.02
Run Assembly Front Door Window Glass Right,153,0.02
Bumper Front Lip Right,153,0.02
"HOSE,RDTR INLET",153,0.02
COVER ENGINE UNDER SIDE R,153,0.02
"MEMBER COMP, HOOD LOCK",152,0.02
HOLDER RR BUMPER SIDE R,152,0.02
COVER ENGINE UNDER,152,0.02
"GRILLE, RADIATOR (BLACK)",152,0.02
Retainer Assembly Front Bumper Cover Mounting 2,151,0.02
"TAPE,FRONT DOOR OUTER FR,R",151,0.02
"HOSE, RDTR OUTLET",151,0.02
Weatherstrip Dicky|Trunk Opening,151,0.02
GUIDE GRILLE AIR,151,0.02
Valve,151,0.02
WEATHERSTRIP,151,0.02
ABSORBER COMP FR BUMPER LOWER,151,0.02
HOSE RADIATOR OUTLET,150,0.02
"PIPE,LIQUID",150,0.02
"SUPPORT, FRONT STRUT",150,0.02
"HOLDER, RR BUMPER SIDE, L",150,0.02
"COVER,FRONT FOG LAMP BEZEL,L",149,0.02
Garnish Bumper Head Light Left,148,0.02
"WEATHERSTRIP,BACK DOOR OPNG",148,0.02
"EMBLEM, REAR(SMART HYBRID)",148,0.02
Emblem|Logo Rear Right Top 2,148,0.02
"BEZEL,FRONT FOG LAMP,LH",147,0.02
BEZEL FRONT FOG LAMP LH,147,0.02
Fender|Wing|Side Panel Scoop Front Left,147,0.02
"BUMPER,FRONT LOWER,R",147,0.02
MOLDINGWINDSHIELD,147,0.02
"GARNISH,RADIATOR GRILLE UPR,R",147,0.02
MODULE ASSY AIRBAG,146,0.02
ARM ASSY FRONT SUSPENSION,146,0.02
"PUMP ASSY, FR WASHER",146,0.02
"CAP ASSY,WHEEL FULL",146,0.02
CLEANER ASSY AIR,146,0.02
Rear View Door Mirror Cover Left,146,0.02
"REFLECTOR ASSY,REAR,L",145,0.02
Tie Rod Assembly Right,145,0.02
"MEMBER COMP, FRONT BUMPER",145,0.02
tape,144,0.02
"CAP,TOWING HOOK",144,0.02
CROSSMEMBER COMP FRONT LOWER,144,0.02
"TAPE, FRONT DOOR OUTER ROOF",143,0.02
"MEMBER,LAMP SUPPORT,L",143,0.02
SENSOR ASSYPARK,143,0.02
AIR DRYING SEALENT,143,0.02
BRACE LAMP SUPPORT RH,143,0.02
Airbag Steering Wheel Driver,143,0.02
Oil Pump,143,0.02
Retainer Rear Bumper Side Bracket Mounting 2,143,0.02
"HINGE, FRONT HOOD LH",142,0.02
"LAMP ASSY,SIDE TURN SIG",142,0.02
"PIPE,AIR CLNR SUCT",142,0.02
Trim Door Front Right,142,0.02
"GUARD ASSY,SIDE SILL SPLASH,L",141,0.01
COOLANT (SG) NON AMINE,141,0.01
Body Vinyl Sticker Set,141,0.01
"COVER, FRONT END UPPER LH",141,0.01
"WHEEL S/ASSY,STEERING",141,0.01
Clips,141,0.01
Cylinder Head Gasket,141,0.01
MOULDING WINDSHIELD,140,0.01
Door Handle Front Left,140,0.01
Regulator Winder Power Window Door Front Left,140,0.01
"GARNISH COMP,COWL TOP",140,0.01
COMPRESSOR ASSY,140,0.01
"GRILLE COMP,RADIATOR LOWER",139,0.01
"HOLDER,FRONT HOOD STAY",139,0.01
"HOSE,LIQUID",139,0.01
SENSOR ASSY PARK,139,0.01
"MOLDING, WINDSHIELD",139,0.01
Floor Panel Rear,139,0.01
Hinge Bottom Door Rear Left,138,0.01
"HOSE,RADIATOR OUTLET",138,0.01
Coolant,138,0.01
"PANEL,FRONT FENDER,L",138,0.01
"EMBLEM,MARK(S",137,0.01
"HARNESS SET,MAIN",137,0.01
Steering Column,137,0.01
TANK ASSY WASHER,137,0.01
"HINGE, FRONT DOOR UPPER RH",137,0.01
BRACE LAMP SUPPORT LH,137,0.01
Bumper Front Left,136,0.01
Quarter Panel Inner Left,136,0.01
MODULE ASSY PASSENGER AIR BAG,136,0.01
Rear View Door Mirror Cover Right,135,0.01
"GUARD ASSY,SIDE SILL SPLASH,R",135,0.01
"COVER,FRONT FOG LAMP BEZEL,R",134,0.01
JOINT STABILIZER BAR,134,0.01
Motor Assembly Front Wiper,134,0.01
Fender|Wing|Side Panel Scoop Front Right,134,0.01
FAN ASSY ENG CLG,134,0.01
CONDENSOR ASSY,134,0.01
Sub Strut McPherson Front Left,133,0.01
"TAPE,FRONT DOOR OUTER FR,L",133,0.01
Emblem|Logo Rear Left Bottom 2,133,0.01
"OUTLET COMP,VENTILATOR",133,0.01
"EMBLEM,MARK",133,0.01
"MOUNTING COMP,ENG LH",132,0.01
Sealant Rear Right Quarter Glass 1,132,0.01
"GARNISH,FRONT FOG LAMP,RH",131,0.01
CONTROLLER ASSYA/B,131,0.01
A Pillar Front Inner Left,131,0.01
"GARNISH, FRONT BUMPER CTR",130,0.01
Lock Set Assembly,130,0.01
